"","sexo","curso"
"120","2.Feminino","1.Física"
"121","1.Masculino","2.Ciências Sociais"
"122","1.Masculino","2.Ciências Sociais"
"123","1.Masculino","2.Ciências Sociais"
"124","1.Masculino","2.Ciências Sociais"
"125","1.Masculino","2.Ciências Sociais"
"126","1.Masculino","2.Ciências Sociais"
"127","1.Masculino","2.Ciências Sociais"
"128","1.Masculino","2.Ciências Sociais"
"129","1.Masculino","2.Ciências Sociais"
"130","1.Masculino","2.Ciências Sociais"
"131","1.Masculino","2.Ciências Sociais"
"132","1.Masculino","2.Ciências Sociais"
"133","1.Masculino","2.Ciências Sociais"
"134","1.Masculino","2.Ciências Sociais"
"135","1.Masculino","2.Ciências Sociais"
"136","1.Masculino","2.Ciências Sociais"
"137","1.Masculino","2.Ciências Sociais"
"138","1.Masculino","2.Ciências Sociais"
"139","1.Masculino","2.Ciências Sociais"
"140","1.Masculino","2.Ciências Sociais"
"141","1.Masculino","2.Ciências Sociais"
"142","1.Masculino","2.Ciências Sociais"
"143","1.Masculino","2.Ciências Sociais"
"144","1.Masculino","2.Ciências Sociais"
"145","1.Masculino","2.Ciências Sociais"
"146","1.Masculino","2.Ciências Sociais"
"147","1.Masculino","2.Ciências Sociais"
"148","1.Masculino","2.Ciências Sociais"
"149","1.Masculino","2.Ciências Sociais"
"150","1.Masculino","2.Ciências Sociais"
"151","1.Masculino","2.Ciências Sociais"
"152","1.Masculino","2.Ciências Sociais"
"153","1.Masculino","2.Ciências Sociais"
"154","1.Masculino","2.Ciências Sociais"
"155","1.Masculino","2.Ciências Sociais"
"156","1.Masculino","2.Ciências Sociais"
"157","1.Masculino","2.Ciências Sociais"
"158","1.Masculino","2.Ciências Sociais"
"159","1.Masculino","2.Ciências Sociais"
"160","1.Masculino","2.Ciências Sociais"
"161","2.Feminino","2.Ciências Sociais"
"162","2.Feminino","2.Ciências Sociais"
"163","2.Feminino","2.Ciências Sociais"
"164","2.Feminino","2.Ciências Sociais"
"165","2.Feminino","2.Ciências Sociais"
"166","2.Feminino","2.Ciências Sociais"
"167","2.Feminino","2.Ciências Sociais"
"168","2.Feminino","2.Ciências Sociais"
"169","2.Feminino","2.Ciências Sociais"
"170","2.Feminino","2.Ciências Sociais"
"171","2.Feminino","2.Ciências Sociais"
"172","2.Feminino","2.Ciências Sociais"
"173","2.Feminino","2.Ciências Sociais"
"174","2.Feminino","2.Ciências Sociais"
"175","2.Feminino","2.Ciências Sociais"
"176","2.Feminino","2.Ciências Sociais"
"177","2.Feminino","2.Ciências Sociais"
"178","2.Feminino","2.Ciências Sociais"
"179","2.Feminino","2.Ciências Sociais"
"180","2.Feminino","2.Ciências Sociais"
"181","2.Feminino","2.Ciências Sociais"
"182","2.Feminino","2.Ciências Sociais"
"183","2.Feminino","2.Ciências Sociais"
"184","2.Feminino","2.Ciências Sociais"
"185","2.Feminino","2.Ciências Sociais"
"186","2.Feminino","2.Ciências Sociais"
"187","2.Feminino","2.Ciências Sociais"
"188","2.Feminino","2.Ciências Sociais"
"189","2.Feminino","2.Ciências Sociais"
"190","2.Feminino","2.Ciências Sociais"
"191","2.Feminino","2.Ciências Sociais"
"192","2.Feminino","2.Ciências Sociais"
"193","2.Feminino","2.Ciências Sociais"
"194","2.Feminino","2.Ciências Sociais"
"195","2.Feminino","2.Ciências Sociais"
"196","2.Feminino","2.Ciências Sociais"
"197","2.Feminino","2.Ciências Sociais"
"198","2.Feminino","2.Ciências Sociais"
"199","2.Feminino","2.Ciências Sociais"
"200","2.Feminino","2.Ciências Sociais"
